companyName,reviewBody,datePublished,ratingValue
Clever Real Estate,"My agent, Michael Kang, is a seasoned real estate professional with a thorough understanding of real estate markets and trends. He has a pleasant, positive, helpful demeanor. I give him a perfect score for responsiveness.  Michael's wealth of knowledge regarding construction proved very beneficial. He understood the details and value of my home. He understood the prevailing costs of features and benefits.Selling a home can be stressful. The sales process was smooth and painless. My home received great exposure. It was advertised promptly and through various media. Using an agent from a large, trusted firm like Coldwell Banker can benefit buyers and sellers as they can leverage many relationships and marketing venues. I'd use them again.DCD",2022-10-27,5
Clever Real Estate,The process was easy and the Realtor I selected was amazing. She was prompt in responding to all parties and had the most positive attitude throughout the process.,2022-09-30,5
Clever Real Estate,The agent we worked with was excellent! Jonathan was very supportive and kept us informed every step of the process! He had great communication skills and shared his experience and expertise with us. He did a great market analysis at a time when the mortgage rates were rising. We would recommend him very highly!,2022-12-30,5
Clever Real Estate,"I interviewed 3 agents associated with Clever, and worked with a great agent. She did much more work than the previous full priced agent, who failed to sell the house. Her brochures and other media were very professional, as were her interpersonal skills. We had to deal with some off the wall buyers, a contract that fell through, and attracting the right buyers for a historic house. She managed to handle everything very well, even when they came out of left field.",2022-12-30,5
Clever Real Estate,Quick response by realtor.  Same service as full price agent.,2022-12-08,5
Clever Real Estate,"I went to the Clever website to find out how much Commission Fees where in Wisconsin. After I familiarized myself with their website I found out about how they could hook me up with an Agent to sell my home at a flat fee, which averaged out to about 2%. They contacted me within 48 hours I had an Agent to sell my home.",2022-11-14,5
Clever Real Estate,"The ease of matching with a realtor, who was just wonderful!",2023-01-23,5
Clever Real Estate,We were able to find an agent through Clever. Steve had a depth of experience and was helpful at every step of the way. Despite rising interest rates we get close to our asking price. His fee was drastically reduced through Clever. We received good service at a lower commission.,2022-09-28,5
Clever Real Estate,"All three referred real estate agents were excellent, but John Cirignani is by far the best real estate agent I have ever met! He exceeded all my expectations and went way beyond. Paying only 1% seller commission (instead of 3%) was fantastic!",2022-12-30,5
Clever Real Estate,Was referred to a fabulous realtor who got my home sold fast and helped me find a new one! Thanks Jc. .and thank you Clever!,2022-12-14,5
Clever Real Estate,"Saved almost $20k on commission fees, and our agent worked tirelessly to make the sale happen. Our original buyer dropped out, but the Agent had a backup buyer, who also subsequently backed out.  Agent then went back to the original buyer and got the sale done. All went smoothly after that.",2022-12-13,5
Clever Real Estate,Going with Clever actually cost me more than if I had used a regular commissioned realtor. The realtor Clever directed me to did minimal to sell my home and never even had an open house. Lazy and unprofessional. I took a loss on my sale and was disgusted with the entire experience.i would never recommend Clever.,2022-12-15,1
Clever Real Estate,Our realtor was wonderful and very knowledgeable about the area,2023-01-18,5
Clever Real Estate,"I was surprised by the Realtors I was given access to. In many years of buying and selling real estate this was my best experience. My realtor was very attentive. She did an open house every Saturday and Sunday, even after we had accepted an offer because she wanted to have back up offers. That was a very smart move on her part.  She sold my house within a few weeks and there were no hiccups at all.  I hope Clever keeps doing business exactly as they are, I will be using them again.",2022-12-08,5
Clever Real Estate,Clever saved me thousands of dollars on commissions while providing me with a high quality realtor who was recommended by their service. Jim Chuba was an outstanding realtor in every aspect of the real estate transaction from start to closing and I could not have sold my home without him. Thank you so much Jim and Clever.,2022-12-07,5
Clever Real Estate,The teams that were involved.They really took their time and displayed homes and did their best to find the right home. With clever you never have to be alone in you process in looking for your they are really there every step of the way. Weight off of your shoulders.,2022-12-13,5
Clever Real Estate,Our clever real estate agent Caroline was fantastic to work with. She cut no corners and even went above and beyond what was expected for us. If I ever need to sell a house again I will gladly do it with clever.,2022-12-16,5
Clever Real Estate,Fantastic selling commission fee- lowest around without any sacrifice in agent services,2023-01-15,5
Clever Real Estate,"Fred the realtor was great, he explained the process clearly and was in touch with me the whole way through.  We were able to close the deal even through this tough market.",2022-12-15,5
Clever Real Estate,We loved working with Vlad and his team! Everyone was so professional and quick to answer any questions and patiently explain the steps to selling our Townhouse!Vlad's video showcasing our home was top notch and Zarena was a top recommendation for partial staging of our home!!!,2022-10-26,5
Clever Real Estate,"Our agent Robert is responsible and always responsive. He knows housing market trend very well.The system of Clever is also reliable. The concierge of the Clever team frequently checked in after listing, so we can also communicate with the Clever team anytime. And first of all we saved a lot. We really appreciate. Thank you very much!",2022-11-30,5
Clever Real Estate,My realtor made all the difference!!!  I had a very short deadline and Brandon was absolutely amazing.  From start to finish he di a fantastic job.  Thank you clever for finding such a great realtor for me!!,2022-12-02,5
Clever Real Estate,The referral to Natalie Citarelli was great. She was so easy to work with and was so helpful. After 4 buyers  failed to qualify we finally was able to close on our house. She was patient and knowledgeable. She took everything in stride and reassured us about the process. I would  highly recommend her and her team.,2022-12-01,5
Clever Real Estate,Rich Jackson made this experience positive in every way!  He kept us updated throughout the entire process and provided us with clear guidance.  Excellent verbiage and photos drew people’s interest.  We received an offer in six days during a difficult housing market thanks to Rich’s efforts!  It was a joy working with Rich and his team!,2022-11-30,5
Clever Real Estate,Chris was an amazing and very helpful personal Clever Concierge.  He frequently checked in with me to make sure everything was going smoothly.  We had an issue a day before closing and he had it worked out within 5 minutes of me calling!  Our realtor was very knowledgeable about the housing market and what price to list our house at.,2022-11-04,5
Clever Real Estate,"Thank you Clever Real Estate for referral of star performer Realtor Bill Byrd. It also shows through our smiles everyday.Bill is an archive of the ebb and flow of real estate market at any given time.Bill has a database of resources to help get job well done. Our house is SOLD within timeframe for which we hoped.Because of such superstar quality of caring listening, above and beyond professionalism, Bill is on track to receive family and friends' call to meet real estate desires.Thank you Bill Byrd.",2022-10-31,5
Clever Real Estate,"My agent was very trustworthy, knowledgeable, and dependable. He always was very prompt with any question or follow up I needed- would definitely recommend!!",2022-12-28,5
Clever Real Estate,Matt helped me to buy another home and to sell my old home.  My realtor is to be commended for his professional demeanor and knowledge.  I was walked through the process. His name is Matt and Clever assisted in the ongoing process. I also just received a check that was promised to me from Clever. Thank you!,2022-11-29,5
Clever Real Estate,"Cleaver recommended some highly-rated realtors, one of whom we interviewed and then hired.",2023-01-12,5
Clever Real Estate,My request was answered quickly and the referral was what I asked for.,2022-11-17,5
Clever Real Estate,"Michael Mehdipour is an excellent realtor and I have recommended him to many people. He was so patient with me while I was getting the house ready to sell. From listing through closing, he was there all the way and expedited the process. I'm so glad I found Clever, thank you for placing such a quality individual into our lives.",2022-11-18,5
Clever Real Estate,Really positive experience!   Interviewed several real estate agents some from Clever some not.  Agent we choose was a perfect fit for our family.  No 'spam' emails or calls.  Our agent gave us a 100% effort and then some even though she knew she was earning a lower commission.  Experienced and has been working in real estate for years.,2022-10-19,5
Clever Real Estate,"Cindy was fantastic and very reactive to any question or problems, which were varied and drawn out due to buyers drama and lack of process knowledge.",2022-12-27,5
Clever Real Estate,"Although I was very skeptical in the beginning the Clever team provided me with a very good agent within a day. Once the agent came she was very professional, polite, and knowledgeable. She reaffirmed everything Cleaver had told me about the pricing. From listing until closing the agent kept us informed and was in constant contact throughout the process. So it was great that Clever could provide such a top-notch realtor.",2022-10-02,5
Clever Real Estate,Clever promptly found agents in my area willing to handle my property sale.  The agent we connected with was well established; including being voted the valley’s top agent last year.  His analysis set our asking price at a competitive price that yielded a full price offer in 2 days. Happy is an understatement!  Thank you to Clever for matching us up with a great agent!,2022-11-10,5
Clever Real Estate,"Sherri was perfect for all my needs and she guided me through the process so smoothly, answered all my questions and gave me great advice and even connected me to a great Clever agent in New Mexico I will recommend her to all my friends back in Maryland.",2022-11-29,5
Clever Real Estate,"Clever led us to Carrie Sutton, and her crew of outstanding folks. She never stopped trying to sell our property, even though the market took a nose-dive. The personal touches she provides to her clients make a huge difference, and let you know she really cares.",2022-11-18,5
Clever Real Estate,The ease of being referred to one of the best realtors in the business!   Danielle Bradshaw deserves a higher commission rate if being referred!   She is the reason we are still sane after our experience!,2022-12-02,5
Clever Real Estate,I’ve moved and have had 10 different houses. Your Agent Gregory Montie is the best. Went out of his way to keep me informed. Even provided hard copies of paperwork I needed. He will be handling another house sale for me. He is very knowledgeable and hard working.,2022-11-17,5
Clever Real Estate,Alan Hamson did an excellent job selling our house. We were able to sell our house in two weeks! This was the best selling experience we ever had and helped to save money with commissions. Alan was also instrumental in helping us with items around our house after we left town and relocated to Texas. I would recommend Alan to anyone! Thanks Alan for everything.,2022-11-10,5
Clever Real Estate,"We were connected with 2 high quality realtors.  The one we went with - Melissa Ricks - was out of this world.   The entire process thru Clever was seamless.  We had the same full service from Melissa as if we paid the traditional 2.5-3% realtor fee. We had a strong offer within 2 weeks, and closed a few weeks later We saved over $12,000.  I highly recommend Clever.",2022-09-01,5
Clever Real Estate,"Great real estate agents! Excellent service for buying and selling! Highly recommend. I also wish to add what a great real estate agent, Mike Farrell, above and beyond the call of duty to get my house, sold! And Summer Baker, who’s doing an absolute outstanding job, helping me find a home. You could not ask for anyone better! Clever saved me a lot of money.",2022-11-06,5
Clever Real Estate,I thought Greg’s strategy was solid and Greg was a VB pleasure to work with. Greg was very professional and knowledgeable with pricing and when we should list the house. I would recommend Greg to anyone,2022-10-06,5
Clever Real Estate,"I believe it was the realtor I contracted with, Brianne Biehl. She was to the point business, not fluff, very responsive, knowledgeable and intuitive about the market.  I had",2022-10-10,5
Clever Real Estate,"The Jamil Brothers were by far the best real estate agents we have worked with -- and we have bought or sold 10 houses.  They knew the market, appreciated and showed our house to its best advantage, sold it for a great price in a difficult market, attended to detail, and made the entire transaction a pleasure.  We couldn't be happier with the service we got from the Jamil Brothers.",2022-11-04,5
Clever Real Estate,Who doesn't want to save money on this process ?.. Selling your home is an expensive procedure so saving during this process is a great thing and more widespread because more companies are offering discounts to handle all of the steps.I can say that the agent that I used went above and beyond in selling my home in a changing market. I will use this same service in the future.,2022-11-04,5
Clever Real Estate,In Tampa Florida you have to pay between $350-$500 broker fee but with Clever you get a cash back when you sell or buy using their endorsed realtors. Is a new way of doing real state!Highly recommended to my relative and friends!,2022-10-20,5
Clever Real Estate,"My experience was a 5 out of 5 stars because of my agent, Nicole Folks.  Saving money on the commission was great, however I was concerned this would mean second rate customer service.  Nothing could have been further from that.  Anyone can sell a home during a hot market, however when I listed my home the market was going into a full on nose dive.  Nicole's years of experience became clear when she helped me to price the house on par with the market and still managed to get me $25K over my asking price with no contingencies in what had become a buyers market.",2022-11-10,5
Clever Real Estate,"Chris Johnson is an excellent real estate broker.  Very knowledgeable, experienced, confident, steady and hands on at times when he is needed most.  I couldn't find a better real estate broker to represent me during this time of economic uncertainty.  Because he knew how to handle complicated transaction/situation it relieves me much worry and anxiety.",2022-10-28,5
Clever Real Estate,Jeff went above and beyond helping me sell my home in today’s difficult market. Communication is key with me and Jeff was always quick to reply to my questions or to inform me as needed. Closing was a breeze. I have already recommended Jeff to friends and family.,2022-11-18,5
Clever Real Estate,I made an awesome decision to do my research and contact Clever. From start to finish they were impeccably awesome with helping to sell my home. Highly recommended by us.,2022-12-16,5
Clever Real Estate,The whole experience was simple. The real estate agent you connected me with was fantastic. It overall streamlined the sale of my home.,2022-12-16,5
Clever Real Estate,"Our realtor that they set us up with was really awesome. She was great communicating with us about everything going on throughout the whole process of listing and selling our house. We really did save thousands of dollars in realtor commission fees, $7200 to be exact, but still had a very professional and seamless process of selling our house.",2022-10-31,5
Clever Real Estate,"The realtor you sent me was excellent! I was very happy with their service and appreciate putting me with them. Nice savings, too!",2022-12-29,5
Clever Real Estate,"In this day and age, you never know if things are to good to be true or whats the catch, but this service has proved to be True as advertised. Having the ability to still choose a realtor, was a plus and I couldn't have chose one any better on my own. He was very professional and knowledgeable with preforming over and above my expectations.",2022-09-30,5
Clever Real Estate,Working with Jessica H. Was awesome. She walked us through the process from beginning (Apr 22) to end (9 Nov) with the patience of a Saint. She was very vigilant and steadfast working with the builder rep to ensure all of our concerns were addressed. 6 star worthy.,2022-11-09,5
Clever Real Estate,"I was very hesitant about using Clever as there are too many scams out there.  They were trustworthy from the beginning and I got excellent service from the referral agent even though the commission was only 1%.  I highly recommend Clever services, you can really save on real estate commission.",2022-10-21,5
Clever Real Estate,Rigo Villarreal is top notch in every respect.  A great real estate agent.   I can't say enough good things about him.,2022-12-30,5
Clever Real Estate,"Having lived in my first house for almost 35 years, I had no experience of what to expect with the selling process.  I stumbled upon Clever while researching my options.  They sent me two very qualified agents to choose from and I went with my gut and chose Tony Chow with Grand Elm.  He walked me through what to expect and put me at ease through the entire process.  We ended up selling for the original asking price that Tony and I had settled on during our initial meeting.  I was very happy with the entire process and the results.",2022-10-31,5
Clever Real Estate,"The Clever team was very helpful. They proactively reached out throughout my whole project. They connected me with several choices of agents for each different region I was shopping in. The Clever agents were all so nice, I actually had a hard time sticking to just one! I highly recommend Clever to all my friends and the big wide Internet.",2022-09-28,5
Clever Real Estate,The enthusiasm and professionalism that my agent brought to bear.  She fought hard for me and offered great experienced advice at every turn.,2022-12-22,5
Clever Real Estate,Awesome experience working with a Clever Seller agent. I had David Hansen from Bedford NH and he was very knowledgeable to prove me guidance where needed and help move the deal forward. He helped do the negotiations with buyers and ultimately we found the right match. Thank you David and team!,2022-10-18,5
Clever Real Estate,Clever connected us with Eddie Borgen who turned out to be much better than we expected from a discount brokerage service. He set a price that was just right for our home and the current market. As a result we had a buyer in less than 48 hours! And Eddie insisted that the buyer offer at our asking price and have no concessions. He made the process very smooth and professional. I highly recommend Clever and Eddie Borgen.,2022-09-08,5
Clever Real Estate,"This was a new experience for  us using a realtor service on line. It turned out to be a great experience with the agent they paired us up with and we only paid 1% for our listing agent and 2 1/2% for the buyers agent saving us over $10,000 and received the same amount of personal service from our agent as if we would have paid 6% or more. I would highly recommend Clever Real Estate to anyone who is sick of paying your hard earned equity to real estate agents when you can use Clever.",2022-07-15,5
Clever Real Estate,I was very pleased with Clever over all. They helped me find realtors on both ends of my deal( sale and buy) and was a huge help! They even negotiated for me on realtors commissions.,2022-11-28,5
Clever Real Estate,,2022-11-13,5
Clever Real Estate,"Found a great agent! After interviewing a few, I picked the one I clicked with the most, and she was able to help me find the perfect place for my needs, with effective negotiation. She made the process much more painless than it could have been. As a first-time home buyer, I really appreciated having an expert by my side who could answer all my questions and clearly lay out all the information I didn't even know to ask about.Plus, the Clever Cashback bonus after completing the purchase was a really nice incentive.",2022-09-30,5
Clever Real Estate,The realtor I was matched up with was nothing but phenomenal!   She worked harder for me than any realtor could have and at a fraction of the cost!  Great experience all around!,2022-12-01,5
Clever Real Estate,"Our Agent, Rhonda Dubois, was so great and super patient with us, she was able to sell my house while working with us from 1300 miles away. Our house had been on the market since June and she got it done in like 30 days from signing on with her♡♡♡",2022-11-01,5
Clever Real Estate,Agent was very responsive to our needs.  He marketed the house with great photos and held an open house.,2022-09-10,5
Clever Real Estate,"My experience was great and I highly recommend Clever to all who are in the market to list their home.  Clever provided me a couple of Relators to select from, for listing our home. The entire experience was great and paying the listing Agent 1% resulted in a 2% savings which based on the sale price of my home saved me thousands of dollars.  I don't know why anyone would list a home without the assistance of a Clever agent. Throughout the process Clever reached out to me to inquire about how things were progressing. I really appreciated all the support Clever provided.",2022-10-03,5
Clever Real Estate,At first I was skeptical because saving that much money seemed too good to be true. I saved thousands of dollars using Clever. I was immediately paired with the most amazing agent who went above and beyond my expectations for any realtor. I highly recommend using Clever.,2022-09-30,5
Clever Real Estate,Clever was great to work with but if I had to pick one thing overall I’d say my great experience came from my realtor James. Absolutely helped us in every way possible and help guide us all the way through.,2022-11-15,5
Clever Real Estate,"I sold a house that I was renting out,... and I sold to my tenants. I also live in a different state than the house I sold. For me the entire experience was basically paperwork. I left everything up to my agent and he got everything finalized. Smooth sailing 😄",2022-09-29,5
Clever Real Estate,"The agent referred to us was very knowledgeable of the local real estate market. Thanks to our agent,  we sold our home about $30K more than we thought it was worth. The agent was very helpful and went beyond his obligation to make sure everything went smoothly.",2022-09-29,5
Clever Real Estate,,2023-01-20,5
Clever Real Estate,"The constant communication, ease of understanding, competitive agent rates, and exceeding my expectations. I plan on buying and selling homes for a living. I will keep clever close to the chest!",2022-11-22,5
Clever Real Estate,Agent Raquel very professional and their staff very helpful friendly.  Raquel was above  and beyon  to assist me to smooth the process to sell my house. I like  the lower pourcentage  within the recomendation to cleve4 to save money,2022-10-21,5
Clever Real Estate,"I initially thought this was a scam, (too good to be true!), but we took the plunge and the service was everything we hoped for. We were paired with a remarkable agent who made the entire experience smooth and close to trouble free.",2022-10-11,5
Clever Real Estate,Your team connected us with 3 agents to interview! Andrea Guest was the most professional and great fit for us! She went the extra mile on helping a seller home to buying a new home! Plus the financial kickback from your company is a very welcome bonus!,2022-10-04,5
Clever Real Estate,Missy was absolutely amazing. She went above and beyond to line up contractors and work with the Condo Association. I definitely would recommend her to anyone selling a home.,2022-11-28,5
Clever Real Estate,Using clever was the best thing we did. We were able to get a top notch agent with little work on our part.,2022-12-23,5
Clever Real Estate,The entire process went incredibly smooth. From the first introduction to the signing of the closing documents. We are very happy with the 1% commission we paid while still getting the full service.,2022-11-10,5
Clever Real Estate,"The agent assigned, Zach Harwood of Berkshire Hathaway in Boston, was excellent to work with and had the depth of experience needed to get the best price and conditions of sale for our property.",2022-11-16,5
Clever Real Estate,"Our Clever realtor was available by text and email in which he answered promptly. He had a good eye for the details of a good working house from furnace to roof. He answered many many questions with patience, good humor and knowledge. When a house popped up in the neighborhood we wanted, when we hadn't had plans to look at properties, he was ready to show it with little notice, then expertly helped us write a smart offer. It turns out ours was one of eight other offers and our bid was the winning bid! He was always on time and went the extra mile when we wanted to look at spur of the moment properties.I have worked with other Clever Real Estate realtors and have been impressed each time.",2022-11-01,5
Clever Real Estate,"The Clever representative was very helpful and the 3 agents he provided us to select from were all good choices. They each had different sales strategies that had their own positive aspects, and we felt that any one of them would have represented us quite well.  Just as Clever promised, we were able to choose the agent who was the best fit for us. I've bought and sold several properties as both a homeowner and a real estate investor, and Shaun Walding is the best agent I've ever worked with. Paying a lower commission absolutely did NOT mean a lower standard of representation. We highly recommend Clever to anyone looking to sell their property.",2022-10-03,5
Clever Real Estate,"I cannot express how truly engaged, supportive, and focused Erica and Dan were from the process of meeting us, listing our home in August to finally closing in October-they were with us every step of the way",2022-10-17,5
Clever Real Estate,"Choosing Clever was the best decision we made! From the very beginning, the concierge team was prompt in making sure I was connected to amazing realtors! I sold and purchased through Clever and I would 100% choose Clever again.",2022-02-15,5
Clever Real Estate,"First and foremost, the Clever program provides the same full service help of the realtor and agency for a fraction of the cost. That makes a huge difference when we're talking about thousands of dollars.",2022-10-24,5
Clever Real Estate,"Very good experience. I was skeptical at first but Clever put me in touch with a team of top agents, who provided the same level of service as if I'd located them on my own. I will definitely use them again.",2022-10-23,5
Clever Real Estate,"Best price, Good agents and Transparency. Love working with Clever",2023-01-05,5
Clever Real Estate,Fantastic agent!!  Great job pairing us with the perfect person to take care of selling our home.  Love Clever!!  Will use them next time I need a realtor.   Thanks Clever!!,2022-11-16,5
Clever Real Estate,We saved a lot on commissions by going through Clever and the agent assigned to us was very good,2022-12-16,4
Clever Real Estate,"They were very attentive and, to my surprise ""real"" people as opposed to the expected ""bots."" They were a pleasure to speak with and answered my questions simply and honestly. I highly recommend.",2022-10-25,5
Clever Real Estate,"My sister and I were selling my mom's house to settle her estate.  This was my sisters first experience selling a house.  This was my second experience selling a house and my first in New York State.  I live out of state.  From cradle to grave our Broker Charles walked us through the process.  He was available via text and phone calls at all hours of the day and night to field our questions or concerns.  At times, I'm sure he felt like a therapist calming my sister or my concerns.  He even responded when he was on vacation and on weekends.  He made completing the contract easy, especially since my sister and I couldn't be physically present throughout 99% of the process.  I would recommend Charles as a Broker/Agent without reservation!",2022-09-30,5
Clever Real Estate,Excellent customer service. Great value for the money. Agent was very experienced and knowledgeable and responsive. Agent knew her business was very proactive. Went above and beyond in her job.,2022-10-11,5
Clever Real Estate,it was our experience that the service was 100% up to par with a full 6% rate agency.The photos taken of the house for professional showing of the house was professional everything was full service,2022-10-15,5
Clever Real Estate,"While it was a lengthy process, Marsha made it very smooth for us. She was always available to assist us or answer questions and she was always available!",2022-11-18,5
Clever Real Estate,"What a terrific way to save just under $7,000 at closing—AND we hired the same realtor to help us find a new house, so she now gets full commission on that end! WIN-WIN",2022-11-09,5
Clever Real Estate,"It was easy to interview and select a realtor to work with.  The process was seamless.Our selected realtor did a great job (beautiful pictures), good guidance, etc.",2022-10-14,5
Clever Real Estate,"Clever directed us to some amazing realtors. We chose to go with Amanda Zito! We made the right decision. She was not only amazing, but so knowledgeable with EVERYTHING, even unrelated buying and selling. I could go on about her but I'll save that for her review.Clever was great with their referrals and allowing us to make our own decisions. We started out with a sale of our property and ended up with a purchase as well. The concierge service checking on us to make sure that things were going well and offers of help in other ways was an added bonus. They were also very helpful in reminding us of changing over utilities and  advising us in other ways to help make our transitions easy.  I will definitely refer Clever to anyone who is in the market for selling or buying a home. I did check with other companies and by far Clever's knowledge, professionalism, integrity were all top notch. Thank you Clever!",2022-11-18,5
Clever Real Estate,We worked with Noah and he was so helpful during the home buying process. He answered all my questions and made the process so much easier than I expected it to be!,2022-10-18,5
Clever Real Estate,"Great communication with me throughout the process, professionalism, and at such a savings compared to the typical commission!",2022-11-30,5
Clever Real Estate,"I interviewed two realtors.  The first realtor wanted to set the asking price significantly below the market value.  I hired the second realtor as he appeared to understand the market and had some good ideas on how to market my house. In the end, I don't believe that he had my best interests in mind and did not represent me well in the negotiation process with the buyers realtor. He set the intial asking price too low and during the negotiation process with the buyers realtor he encouraged me to continue to accept a lower offer and to give additonal credits to the buyer. I believe his primary object was to just get the house sold as soon as possible regardless of how much it costs me in a lower price. In the end I believe I sold my house at below market value. Also, during the initial open house he showed up only minutes before when there were potential buyers waiting in their cars. He also convinced us that the 4th quarter of the year was a good time to list a house and that was not our experience as we did not have but one offer. Also, through out the process he would say one thing and then later say exactly the opposite and we concluded that we could not rely on him to provide us with accurate information. I would highly recommend that you use a different company other than Clever as I believe that the lower commission fee resulted in a lower quality realtor.",2022-12-14,1
Clever Real Estate,"Clever refered me to one of the best agents. Athrine is the best realtor/agent!  She cared and worked for her client's interests.  I had listed my home with another agent who could not secure the deal - the home was in and out the escrow 5 times.  Once the listing expired, I hired Arthine.  She educated me on the contract details and advised me throughout the selling process.  When buyers requested unreasonable terms or items, she handled it like a pro.  She was not an agent that will list your home and let it sit in the market waiting for buyers.  She did everything she could to sell my home even mowed the lawn and cleaned dust to prep the home in presentable condition.  If you are looking for an agent to buy or sell, go with Arthine.  I guarantee that you will receive the best service and advice.",2022-09-12,5
Clever Real Estate,Listwithclever provided me with a top-notch real estate agent who went way above and beyond to sell my homeat a total commission - including buyer agent's - of 3.0%!,2022-10-18,5
Clever Real Estate,Good referral service for discount listing. I appreciated that there were multiple referrals to find a good match for my situation.,2022-10-15,5
Clever Real Estate,They put me in touch with a wonderful relator. The whole process was made easier with our great realtors help. I'm thankful for clever and their team,2022-10-31,5
Clever Real Estate,Clever paired us with a local real estate agent who was fantastic in every respect. Our home was sold in 10 days and everything went as well as could be expected.,2022-08-18,5
Clever Real Estate,The experience was great. The realtors put together a beautiful brochure of my home and worked hard to get it sold.,2022-12-02,5
Clever Real Estate,"Good communication and follow up to assure my satisfaction with the agent and the process. The house sold for $500k saving me $10,000 in sales commission.",2022-09-15,5
Clever Real Estate,My realtor was literally the best. And the clever team reached out frequently to ensure my experience.,2022-12-13,5
Clever Real Estate,We got a phone call from a highly experienced agent within an hour of signing up with clever. The whole process was seamless and we sold our home without any issues,2022-10-10,5
Clever Real Estate,"The people at Clever always asked me how the process was going.  In particular, Chris Ohm, was particularly interested in how things were going.",2022-11-04,5
Clever Real Estate,The information provided was factual and straightforward. the agent referred was friendly and professional and did an outstanding job.,2022-10-04,5
Clever Real Estate,My wife and I were very impressed with the professionalism. The focus was on satisfying our needs and not just trying to sell us a house.,2022-10-13,5
Clever Real Estate,Using Clever was a great experience all around. The agent they matched us with worked hard on our behalf and would definitely go with Clever again in the future.,2022-06-01,5
Clever Real Estate,Saved a lot of money house sold in 3 days at the asking price. Couldn't ask for anything better,2022-12-05,5
Clever Real Estate,My agent Victoria Munoz was excellent and I will always recommend her for real estate transactions. She's the best!!,2022-11-10,5
